Normal, Virus or Bacteria resnet18 trained model
Optimizer : adam, Final activation : sigmoid
--------------------------------------------------------------

METRICS :
loss : 0.8718771437803904
accuracy : 0.6121212244033813
true_positives : 94.0
false_positives : 55.0
true_negatives : 275.0
false_negatives : 71.0
precision : 0.6308724880218506
recall : 0.5696969628334045
auc : 0.7858034372329712

PREDICTIONS :
Predictions : [0.5671687  0.21845698 0.21437429], Result : NORMAL
Predictions : [0.23529525 0.54666424 0.21804054], Result : BACTERIA
Predictions : [0.2119398  0.57611203 0.21194814], Result : BACTERIA
Predictions : [0.56805    0.21662502 0.21532503], Result : NORMAL
Predictions : [0.39885035 0.3746692  0.22648044], Result : NORMAL
Predictions : [0.24289669 0.5373031  0.21980022], Result : BACTERIA
Predictions : [0.21193418 0.57607    0.21199578], Result : BACTERIA
Predictions : [0.21192367 0.57589066 0.21218564], Result : BACTERIA
Predictions : [0.21348517 0.5726236  0.21389115], Result : BACTERIA
Predictions : [0.22993271 0.5524004  0.21766694], Result : BACTERIA
Predictions : [0.21899928 0.5653426  0.21565817], Result : BACTERIA
Predictions : [0.21192642 0.57606953 0.21200405], Result : BACTERIA
Predictions : [0.2124682  0.57440716 0.21312463], Result : BACTERIA
Predictions : [0.21190667 0.5759809  0.2121124 ], Result : BACTERIA
Predictions : [0.22057949 0.563143   0.2162775 ], Result : BACTERIA
Predictions : [0.21218665 0.575009   0.2128044 ], Result : BACTERIA
Predictions : [0.21251154 0.5751692  0.21231921], Result : BACTERIA
Predictions : [0.2835247  0.4878083  0.22866698], Result : BACTERIA
Predictions : [0.21192239 0.57603693 0.21204063], Result : BACTERIA
Predictions : [0.21194553 0.57590795 0.21214652], Result : BACTERIA
Predictions : [0.21192868 0.57602704 0.21204433], Result : BACTERIA
Predictions : [0.37374908 0.40106055 0.22519031], Result : BACTERIA
Predictions : [0.21428525 0.5706978  0.21501689], Result : BACTERIA
Predictions : [0.21191533 0.576017   0.2120676 ], Result : BACTERIA
Predictions : [0.2119263  0.5758808  0.21219288], Result : BACTERIA
Predictions : [0.21221687 0.57506657 0.2127165 ], Result : BACTERIA
Predictions : [0.21201615 0.5757574  0.21222645], Result : BACTERIA
Predictions : [0.21486366 0.5715406  0.21359578], Result : BACTERIA
Predictions : [0.22825158 0.55375487 0.21799359], Result : BACTERIA
Predictions : [0.21192913 0.5760674  0.2120035 ], Result : BACTERIA
Predictions : [0.21207099 0.5749435  0.21298556], Result : BACTERIA
Predictions : [0.21195564 0.5759207  0.21212366], Result : BACTERIA
Predictions : [0.21594256 0.56966263 0.2143948 ], Result : BACTERIA
