Normal, Virus or Bacteria vgg16 trained model
Optimizer : rmsprop, Hidden activation : relu, Final activation : sigmoid
--------------------------------------------------------------

METRICS :
loss : 0.7761348982652029
accuracy : 0.7696969509124756
true_positives : 124.0
false_positives : 32.0
true_negatives : 298.0
false_negatives : 41.0
precision : 0.7948718070983887
recall : 0.7515151500701904
auc : 0.8879890441894531

PREDICTIONS :
Predictions : [0.82509637 0.12957515 0.0453284 ], Result : NORMAL
Predictions : [0.5676065  0.3822521  0.05014141], Result : NORMAL
Predictions : [0.37965572 0.4160025  0.20434184], Result : BACTERIA
Predictions : [0.52592075 0.4288197  0.04525962], Result : NORMAL
Predictions : [9.6605486e-01 8.3884917e-04 3.3106260e-02], Result : NORMAL
Predictions : [0.08450603 0.00884375 0.90665025], Result : VIRUS
Predictions : [0.03357072 0.9175893  0.04883997], Result : BACTERIA
Predictions : [0.27302077 0.70687324 0.02010598], Result : BACTERIA
Predictions : [0.00477399 0.01140648 0.98381954], Result : VIRUS
Predictions : [0.04674596 0.9394465  0.01380752], Result : BACTERIA
Predictions : [0.90934837 0.00316937 0.08748223], Result : NORMAL
Predictions : [0.04165429 0.89859873 0.05974689], Result : BACTERIA
Predictions : [0.03368211 0.95131433 0.01500353], Result : BACTERIA
Predictions : [0.00203558 0.996552   0.00141244], Result : BACTERIA
Predictions : [9.1118276e-01 4.1545805e-04 8.8401794e-02], Result : NORMAL
Predictions : [0.02895208 0.9616676  0.00938044], Result : BACTERIA
Predictions : [9.8007685e-01 5.1325961e-04 1.9409964e-02], Result : NORMAL
Predictions : [0.7390814  0.20937459 0.05154406], Result : NORMAL
Predictions : [0.8800656  0.05270779 0.06722653], Result : NORMAL
Predictions : [0.6846319  0.21112464 0.10424346], Result : NORMAL
Predictions : [0.9527137  0.02642306 0.02086321], Result : NORMAL
Predictions : [0.09069923 0.89041954 0.01888119], Result : BACTERIA
Predictions : [1.3536755e-03 4.7895880e-04 9.9816740e-01], Result : VIRUS
Predictions : [9.9622190e-01 2.5879141e-04 3.5192557e-03], Result : NORMAL
Predictions : [0.16686635 0.7752257  0.05790796], Result : BACTERIA
Predictions : [3.9849305e-03 5.4077251e-04 9.9547428e-01], Result : VIRUS
Predictions : [0.36265814 0.5812001  0.05614184], Result : BACTERIA
Predictions : [0.03157908 0.88924205 0.07917888], Result : BACTERIA
Predictions : [0.11049856 0.7262242  0.16327731], Result : BACTERIA
Predictions : [0.08578902 0.8653267  0.04888423], Result : BACTERIA
Predictions : [9.7974581e-01 8.3573512e-05 2.0170609e-02], Result : NORMAL
Predictions : [0.00742741 0.97246337 0.02010926], Result : BACTERIA
Predictions : [0.1549147  0.8298939  0.01519133], Result : BACTERIA
Predictions : [0.25339085 0.7173339  0.02927522], Result : BACTERIA
Predictions : [0.69599557 0.02047298 0.2835314 ], Result : NORMAL
Predictions : [9.9804002e-01 1.0514565e-04 1.8548340e-03], Result : NORMAL
Predictions : [5.5099028e-04 7.5415047e-03 9.9190748e-01], Result : VIRUS
Predictions : [0.02518767 0.9501533  0.02465909], Result : BACTERIA
Predictions : [0.02921935 0.9584538  0.01232696], Result : BACTERIA
Predictions : [0.03244819 0.95975566 0.00779614], Result : BACTERIA
Predictions : [0.98866975 0.00101173 0.01031848], Result : NORMAL
Predictions : [0.96295035 0.02862816 0.00842148], Result : NORMAL
Predictions : [0.51611114 0.04200995 0.44187894], Result : NORMAL
Predictions : [9.6102816e-01 6.2846416e-04 3.8343422e-02], Result : NORMAL
Predictions : [0.21168412 0.76502293 0.02329297], Result : BACTERIA
Predictions : [9.8318511e-01 2.2637367e-04 1.6588591e-02], Result : NORMAL
Predictions : [0.86972445 0.08070264 0.04957283], Result : NORMAL
Predictions : [0.18175894 0.75698125 0.0612599 ], Result : BACTERIA
Predictions : [9.9159932e-01 7.9093454e-04 7.6098046e-03], Result : NORMAL
Predictions : [0.7879593  0.00139227 0.21064846], Result : NORMAL
Predictions : [0.9664307  0.00130864 0.03226066], Result : NORMAL
Predictions : [0.02767513 0.01153209 0.9607928 ], Result : VIRUS
Predictions : [0.28563562 0.6169784  0.09738599], Result : BACTERIA
Predictions : [0.80234987 0.14199844 0.05565169], Result : NORMAL
Predictions : [7.9236049e-03 9.3214569e-04 9.9114424e-01], Result : VIRUS
Predictions : [0.0551823  0.9362504  0.00856733], Result : BACTERIA
Predictions : [0.7911548  0.14836194 0.06048328], Result : NORMAL
Predictions : [0.5908537  0.17781042 0.23133591], Result : NORMAL
Predictions : [9.7875595e-01 3.6787587e-05 2.1207316e-02], Result : NORMAL
Predictions : [0.49329665 0.48203114 0.02467226], Result : NORMAL
Predictions : [0.56561685 0.2809548  0.15342835], Result : NORMAL
Predictions : [0.26447687 0.6884101  0.04711302], Result : BACTERIA
Predictions : [9.6700311e-01 2.9584958e-04 3.2701120e-02], Result : NORMAL
Predictions : [0.53705233 0.00636882 0.45657882], Result : NORMAL
Predictions : [0.0413767  0.95239407 0.00622914], Result : BACTERIA
Predictions : [3.5337291e-03 5.9820357e-04 9.9586809e-01], Result : VIRUS
Predictions : [0.4792416  0.39680764 0.1239507 ], Result : NORMAL
Predictions : [0.16750063 0.7832602  0.0492392 ], Result : BACTERIA
Predictions : [0.0126581  0.9841143  0.00322759], Result : BACTERIA
Predictions : [7.1693444e-01 3.2973918e-04 2.8273585e-01], Result : NORMAL
Predictions : [0.29665136 0.0382925  0.66505617], Result : VIRUS
Predictions : [0.16322848 0.28879336 0.5479782 ], Result : VIRUS
Predictions : [0.06357394 0.8357981  0.10062793], Result : BACTERIA
Predictions : [0.04305893 0.9443722  0.01256886], Result : BACTERIA
Predictions : [0.45159912 0.50943106 0.03896975], Result : BACTERIA
Predictions : [0.10213747 0.8867077  0.01115485], Result : BACTERIA
Predictions : [0.9597219  0.00453052 0.03574752], Result : NORMAL
Predictions : [0.14980692 0.07839695 0.77179617], Result : VIRUS
Predictions : [0.04267387 0.04543489 0.9118913 ], Result : VIRUS
Predictions : [0.7515491  0.00128058 0.24717024], Result : NORMAL
Predictions : [1.6472228e-04 3.6289965e-04 9.9947244e-01], Result : VIRUS
Predictions : [0.06417158 0.914721   0.02110739], Result : BACTERIA
Predictions : [0.6257294  0.23374096 0.14052968], Result : NORMAL
Predictions : [0.03306506 0.9535647  0.01337024], Result : BACTERIA
Predictions : [0.5086386  0.43845078 0.05291059], Result : NORMAL
Predictions : [0.06662047 0.9276043  0.00577522], Result : BACTERIA
Predictions : [0.67994756 0.24073859 0.07931387], Result : NORMAL
Predictions : [0.45939225 0.44731453 0.09329326], Result : NORMAL
Predictions : [9.9755007e-01 1.3939025e-04 2.3105522e-03], Result : NORMAL
Predictions : [7.6558714e-04 5.4660952e-04 9.9868780e-01], Result : VIRUS
Predictions : [9.8687798e-01 1.2054545e-04 1.3001377e-02], Result : NORMAL
Predictions : [0.09080869 0.8821753  0.02701593], Result : BACTERIA
Predictions : [0.26823846 0.673604   0.05815745], Result : BACTERIA
Predictions : [9.9841034e-01 3.4654231e-04 1.2430258e-03], Result : NORMAL
Predictions : [0.00232093 0.9923035  0.00537563], Result : BACTERIA
Predictions : [0.9924374  0.0019543  0.00560831], Result : NORMAL
Predictions : [0.03771168 0.01061354 0.9516748 ], Result : VIRUS
Predictions : [9.9880993e-01 1.0413287e-05 1.1797235e-03], Result : NORMAL
Predictions : [0.01738558 0.01927102 0.9633434 ], Result : VIRUS
